id,fips,Diabetes_Rate,Diabetes_Rate_White,Diabetes_Rate_Black,Diabetes_Rate_Asian,Diabetes_Rate_Hispanic,Grocery_Store_Proximity,Convenience_Store_Proximity,SNAP_Households,Income_Spent_on_Food,Housing_in_Poor_Repair,Drug_Arrests,Tree_Coverage,Air_Polluter_Proximity,Ejectments_per_Square_Mile,Cost_Burdened_Households,Sidewalks,Parks_Proximity,Traffic_Exposure,Bike_Commuters,Residents_Below_Poverty_Level,Service_Industry_Jobs,Racial_Income_Disparity,Clinic_Proximity,People_without_Insurance,Bus_Stop_Proximity,Pharmacy_Proximity,Childcare_Centers_per_Square_Mile,Healthcare_Workers,Total_Residents,Pct_Black,Pct_Hispanic,Pct_Non_Hispanic_White,Pct_Asian,Pct_Youth,Pct_Over_65,Patients_per_Acre,Dwellings_per_Acre
10.01,37063001001,0.192323738,0.18373494,0.199001871,0,0.199052133,0.444089457,0.445367412,0.354,,0.02815979,78.14165518,0.462325411,0.624920128,301.2692907,0.445040214,0.644739467,0.715015974,0.016603059,0,39.2,0.336672231,1.142919772,0.274121406,29.2,0.946964856,0,9.05990205,0.171396772,4377,0.666185805,0.24321985,0.083958454,0.003173687,0.312463935,0.075014426,4.546310425,2.769550726
10.02,37063001002,0.186609687,0.177595628,0.211538462,0.315789474,0.152154793,0.152946274,0.441941075,0.281,,0.015638575,66.51291238,0.503294938,0.205372617,322.538178,0.49711891,0.278853724,0.672443674,0.10550835,0.010706638,43.4,0.480371163,0.562070122,0.06932409,38.2,0.938041594,0.144714038,3.093623831,0.152034261,5776,0.511717442,0.41764312,0.062437228,0.003515233,0.325744895,0.06260462,4.67227723,2.789347089
11,37063001100,0.182344428,0.108527132,0.205662393,0,0.183870968,0.581830327,0.351369405,0.432,,0.018754186,118.7371065,0.322749277,0.869739479,575.1840301,0.443425076,0.656202561,0.925183701,0.12335546,0.020818378,52.3,0.370264475,2.038111588,0.399465598,28.1,1,0,3.710534578,0.23659757,3617,0.667906977,0.255503876,0.069457364,0.001860465,0.266046512,0.091162791,7.102855777,4.339989836
13.01,37063001301,0.17218543,0.045454545,0.18807947,,0.140625,0.390625,0.403409091,0.367,,0.053008596,127.6026374,0.509988984,0.474431818,372.2091439,0.575949367,0.630938748,1,0.027993152,0,32.5,0.266982622,1.123220456,0.536931818,30.2,1,0.536931818,10.63355312,0.238546603,1408,0.897163121,0.070921986,0.023049645,0.003546099,0.204787234,0.110815603,5.904393407,3.899336734
13.03,37063001303,0.192780338,0.137931034,0.203608247,,0.109090909,0.013447433,0.616136919,0.37,,0.011042945,53.56881308,0.383932842,0.178484108,183.1884883,0.535483871,0.661796884,0.947432763,0.111729294,0.003571429,24.3,0.241428571,0.732707355,0.019559902,9.8,1,0.019559902,6.912104914,0.459285714,3591,0.936071817,0.028563656,0.017954298,0.002176279,0.080250272,0.088683351,3.915457682,2.208858196
13.04,37063001304,0.185688941,0.142857143,0.196162047,,0.114583333,0.493636364,0.677272727,0.423,,0.007266122,80.87308304,0.564543948,0,307.0486903,0.511516315,0.580158196,0.997366111,0.168789221,0,40.6,0.455810147,0.728296682,0,19.2,1,0,4.492949058,0.267594108,3006,0.858427845,0.11849824,0.014861165,0.000782167,0.301525225,0.133750489,4.282784775,2.574351504
14,37063001400,0.199064796,0.096153846,0.211508554,,0.11971831,0.172901081,0.751454697,0.465,,0.00661157,102.4285335,0.42588447,0.138819618,677.4583903,0.405815424,0.604411166,0.919368246,0.067954163,0,55.7,0.2823219,0.247355525,0,18.5,0.995012469,0,10.92571025,0.331134565,2542,0.90302798,0.079340744,0.012265236,0.001149866,0.352625527,0.090839402,2.823463452,2.567366994
15.01,37063001501,0,0,0,0,0,0,1,0.143,,0,4.726781324,0.440625793,0.99270073,0,0.866666667,0.669660416,0.00729927,0.160202144,0.016901408,88.3,0.321126761,0.801071155,1,4.9,1,1,0,0.63943662,2911,0.116612378,0.060912052,0.497394137,0.315960912,0.010423453,0,0.215678488,0.202383238
15.02,37063001502,0.08269066,0.059885932,0.168300654,0.018281536,0.114685315,0.212306247,0.671441992,0.217,,0,36.87574032,0.333885063,0.353452325,394.0751625,0.534717716,0.390460711,0.55224231,0.1985635,0.008890607,46.7,0.176448737,1.494289898,0.567167684,22.6,1,0.780178488,0,0.457652303,6292,0.338790511,0.277814901,0.225526228,0.152355496,0.167891747,0.046107584,7.477838568,7.010267861
15.03,37063001503,,,,,,,,,,,0,0.480871178,,0,,0.456427296,,0.192307463,0.042372881,,0.199152542,0.400819672,,3.3,,,0,0.733050847,1642,0.125193199,0.090159711,0.537867079,0.232354456,0.023183926,0.001545595,0.077179672,0
